SourceRef,MixNo,FlyAsh_pct,GGBS_pct,Na2O_pct,Water_Binder,Curing_temp_C,Strength_MPa
17,1.0,100.0,0.0,4.25,0.3,23.0,2.63
17,2.0,90.0,10.0,4.22,0.3,23.0,5.4
17,3.0,85.0,15.0,4.21,0.3,23.0,30.2
17,4.0,80.0,20.0,4.21,0.3,23.0,39.6
17,5.0,85.0,15.0,3.78,0.3,23.0,3.8
17,6.0,85.0,15.0,3.48,0.3,23.0,2.0
18,7.0,85.0,15.0,4.0,0.28,20.0,44.0
18,8.0,85.0,15.0,4.0,0.3,20.0,30.0
18,9.0,85.0,15.0,4.0,0.32,20.0,6.0
18,10.0,85.0,15.0,4.0,0.3,20.0,32.02
18,11.0,85.0,15.0,4.0,0.3,20.0,35.54
18,12.0,85.0,15.0,4.0,0.3,20.0,28.52
19,13.0,85.0,15.0,4.0,0.3,20.0,15.48
19,14.0,85.0,15.0,4.0,0.3,20.0,5.791
19,15.0,85.0,15.0,4.0,0.3,20.0,4.11
19,16.0,85.0,15.0,4.0,0.3,20.0,34.77
20,17.0,85.0,15.0,4.0,0.3,20.0,38.6
20,18.0,85.0,15.0,4.0,0.3,20.0,36.22
20,19.0,85.0,15.0,4.0,0.3,20.0,31.66
20,20.0,80.0,20.0,4.0,0.3,20.0,38.0
20,21.0,80.0,20.0,4.0,0.25,20.0,24.4
20,22.0,80.0,20.0,4.0,0.25,20.0,32.7
21,23.0,80.0,20.0,4.0,0.23,20.0,28.8
21,24.0,70.0,30.0,4.0,0.25,20.0,34.4
21,25.0,70.0,30.0,4.0,0.3,20.0,51.9
21,26.0,75.0,25.0,5.1,0.394,60.0,18.4
22,27.0,75.0,25.0,6.0,0.4,60.0,30.5
22,28.0,75.0,25.0,6.0,0.3,60.0,36.9
23,29.0,50.0,50.0,4.0,0.35,60.0,35.2
23,30.0,0.0,100.0,5.0,0.35,20.0,76.4
23,31.0,50.0,50.0,5.0,0.35,20.0,58.4
24,32.0,0.0,90.0,5.0,0.35,20.0,76.4
24,33.0,45.0,45.0,5.0,0.35,20.0,58.2
24,34.0,100.0,0.0,4.0,0.25,25.0,17.4
24,35.0,100.0,0.0,5.0,0.25,25.0,38.7
24,36.0,100.0,0.0,6.0,0.25,25.0,49.5
24,37.0,100.0,0.0,7.0,0.25,25.0,44.3
25,38.0,100.0,0.0,8.0,0.25,25.0,43.2
25,39.0,50.0,50.0,6.0,0.4,25.0,74.4
25,40.0,50.0,50.0,6.0,0.4,25.0,65.5
25,41.0,50.0,50.0,6.0,0.4,25.0,71.0
25,42.0,50.0,50.0,6.0,0.4,25.0,69.2
25,43.0,50.0,50.0,6.0,0.38,25.0,72.2
25,44.0,50.0,50.0,6.0,0.38,25.0,68.1
25,45.0,50.0,50.0,6.0,0.38,25.0,72.1
25,46.0,50.0,50.0,6.0,0.36,25.0,75.7
25,47.0,50.0,50.0,6.0,0.36,25.0,65.3
25,48.0,50.0,50.0,6.0,0.36,25.0,71.8
25,49.0,50.0,50.0,6.0,0.34,25.0,76.5
25,50.0,50.0,50.0,6.0,0.34,25.0,75.5
25,51.0,50.0,50.0,6.0,0.34,25.0,71.0
26,52.0,50.0,50.0,6.0,0.4,25.0,74.4
26,53.0,100.0,0.0,4.0,0.282,23.0,9.0
26,54.0,90.0,10.0,4.0,0.282,23.0,18.0
26,55.0,70.0,30.0,4.0,0.313,23.0,38.0
26,56.0,60.0,40.0,4.0,0.319,23.0,44.0
26,57.0,50.0,50.0,4.0,0.324,23.0,44.0
26,58.0,40.0,60.0,4.0,0.325,23.0,45.0
26,59.0,0.0,100.0,4.0,0.412,23.0,43.0
26,60.0,0.0,95.0,1.5,0.45,20.0,32.96
26,61.0,0.0,90.0,1.5,0.45,20.0,34.44
26,62.0,0.0,85.0,1.5,0.45,20.0,31.95
27,63.0,0.0,80.0,1.5,0.45,20.0,29.56
27,64.0,100.0,0.0,5.0,0.25,30.0,10.9
27,65.0,100.0,0.0,7.5,0.25,30.0,37.57
27,66.0,100.0,0.0,10.0,0.25,30.0,83.03
27,67.0,100.0,0.0,12.5,0.25,30.0,31.74556
27,68.0,100.0,0.0,10.0,0.2,30.0,61.35
27,69.0,100.0,0.0,10.0,0.25,30.0,83.45
28,70.0,100.0,0.0,10.0,0.3,30.0,27.55
28,71.0,50.0,50.0,6.0,0.4,23.0,69.1
28,72.0,50.0,50.0,6.0,0.4,23.0,96.83
28,73.0,50.0,50.0,4.5,0.4,23.0,65.96
28,74.0,50.0,50.0,6.0,0.3,23.0,82.44
28,75.0,50.0,50.0,6.0,0.3,23.0,82.98
28,76.0,50.0,50.0,4.5,0.3,23.0,102.1
28,77.0,0.0,90.0,5.0,0.35,20.0,76.21
28,78.0,45.0,45.0,5.0,0.35,20.0,57.99
28,79.0,50.0,50.0,6.0,0.36,25.0,83.19
28,80.0,60.0,40.0,7.5,0.5,23.0,29.09
